status,url,slug_brand,slug_country,page_brand,page_country,title,h1,notes
MISMATCH,https://saigonhoreca.vn/san-pham/lo-combi-sehe061w-sammic-spain/,sammic,spain,giorik,italy,Lò Combi SEHE061W - Giorik - Italy,Lò Combi SEHE061W &#8211; Giorik &#8211; Italy,brand: slug=sammic vs page=giorik | country: slug=spain vs page=italy
MISMATCH,https://saigonhoreca.vn/san-pham/lo-combi-sere061w-sammic-spain/,sammic,spain,giorik,italy,Lò Combi SERE061W - Giorik - Italy,Lò Combi SERE061W &#8211; Giorik &#8211; Italy,brand: slug=sammic vs page=giorik | country: slug=spain vs page=italy
MISMATCH,https://saigonhoreca.vn/san-pham/lo-nuong-combi-7-khay-gn-1-1-mte7w_r-sammic-spain/,sammic,spain,giorik,italy,Lò Nướng Combi 7 Khay Gn 1/1 MTE7W_R - Giorik - Italy,Lò Nướng Combi 7 Khay Gn 1/1 MTE7W_R &#8211; Giorik &#8211; Italy,brand: slug=sammic vs page=giorik | country: slug=spain vs page=italy
SKIP,https://saigonhoreca.vn/san-pham/,,,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-dong-1-cua-ftwh70ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 1 Cửa FTWH70LS4 - Hoshizaki,Bàn Đông 1 Cửa FTWH70LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ft-126ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FT-126MA-S-3D - Hoshizaki,Bàn Đông 2 Cửa FT-126MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ft-156ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FT-156MA-S-3D - Hoshizaki,Bàn Đông 2 Cửa FT-156MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ftwh120ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FTWH120LS4 - Hoshizaki,Bàn Đông 2 Cửa FTWH120LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ftwh126ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FTWH126LS4 - Hoshizaki,Bàn Đông 2 Cửa FTWH126LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ftwh150ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FTWH150LS4 - Hoshizaki,Bàn Đông 2 Cửa FTWH150LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-ftwh156ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FTWH156LS4 - Hoshizaki,Bàn Đông 2 Cửa FTWH156LS4 &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-fvft1260-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-fvft1275-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-fvft1560-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-2-cua-fvft1575-fujimak-japan/,,japan,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-dong-2-ngan-keo-ftl-108ma-sd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Ngăn Kéo FTL-108MA-SD - Hoshizaki,Bàn Đông 2 Ngăn Kéo FTL-108MA-SD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-3-cua-ft-186ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 3 Cửa FT-186MA-S-3D - Hoshizaki,Bàn Đông 3 Cửa FT-186MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-3-cua-ftwh180ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 3 Cửa FTWH180LS4 - Hoshizaki,Bàn Đông 3 Cửa FTWH180LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-3-cua-ftwh186ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 3 Cửa FTWH186LS4 - Hoshizaki,Bàn Đông 3 Cửa FTWH186LS4 &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-3-cua-fvft1860-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-dong-3-cua-fvft1875-fujimak-japan/,,japan,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-dong-3-ngan-keo-2-cua-ft-188ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 3 Ngăn Kéo 2 Cửa FT-188MA-S-3D - Hoshizaki,Bàn Đông 3 Ngăn Kéo 2 Cửa FT-188MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-4-ngan-keo-ftl-148ma-sd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 4 Ngăn Kéo FTL-148MA-SD - Hoshizaki,Bàn Đông 4 Ngăn Kéo FTL-148MA-SD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-6-ngan-keo-ftl-188ma-sd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 6 Ngăn Kéo FTL-188MA-SD - Hoshizaki,Bàn Đông 6 Ngăn Kéo FTL-188MA-SD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-126ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-126MA-S - Hoshizaki,Bàn đông FT-126MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-126ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-126MA-S-ML - Hoshizaki,Bàn đông FT-126MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-128ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FT-128MA-S - Hoshizaki,Bàn Đông 2 Cửa FT-128MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-156ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-156MA-S - Hoshizaki,Bàn đông FT-156MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-156ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-156MA-S-ML - Hoshizaki,Bàn đông FT-156MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-158ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 2 Cửa FT-158MA-S - Hoshizaki,Bàn Đông 2 Cửa FT-158MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-158ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-158MA-S-ML - Hoshizaki,Bàn đông FT-158MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-186ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-186MA-S-ML - Hoshizaki,Bàn đông FT-186MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-188ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-188MA-S - Hoshizaki,Bàn đông FT-188MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-188ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-188MA-S-ML - Hoshizaki,Bàn đông FT-188MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-96ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn đông FT-96MA-S - Hoshizaki,Bàn đông FT-96MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-dong-ft-98ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Đông 1 Cửa FT-98MA-S - Hoshizaki,Bàn Đông 1 Cửa FT-98MA-S &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht0960-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht0975-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1260-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1275-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1560-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1575-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1860-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fht1875-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fhta1275-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-giu-am-chen-dia-fhta1290-fujimak-japan/,,japan,,,,,no brand token in slug
